copy/paste bank statement in here!,,,,label the transactions here,,Transactions are summed up here:,,,
Description,,Summary Amt.,,,,,,,
Beginning balance as of 10/01/2018,,6610.17,,,,,,,
Total credits,,4267.5,,,,,,,
Total debits,,-5862.69,,,,,,,
Ending balance as of 10/31/2018,,5014.98,,,,,,,
,,,,,,,,,
Date,Description,Amount,Running Bal.,,,,,,
10/1/2018,Beginning balance as of 10/01/2018,,6610.17,,,TYPE,AMOUNT,,
10/1/2018,AMAZON.COM*MT6SV4VJ1 AM 09/27 PURCHASE AMZN.COM/BILL WA,-34.12,6576.05,Gifts,,amazon?, $214.14 ,,
10/1/2018,THE GAFF 09/28 PURCHASE WALTHAM MA,-18.59,6557.46,Eating Out,,Beauty, $393.45 ,,
10/1/2018,SQ *EPIDERMIS & CO 09/29 PURCHASE WINTHROP MA,-200,6357.46,Health,,Car Insurance, $42.89 ,,
10/1/2018,RCN*CABLE PHONE INTERN 09/29 PURCHASE 800-RINGRCN PA,-31.96,6325.5,Internet,,Car/Transportation, $377.92 ,,
10/1/2018,BROTHERS MARKE 09/29 PURCHASE WALTHAM MA,-12.78,6312.72,Eating Out,,Cell phone, $87.00 ,,
10/1/2018,Feminail Salon 09/29 PURCHASE WALTHAM MA,-10,6302.72,Beauty,,Charity Donation, $100.00 ,,
10/1/2018,SQ *MORE THAN WORDS 09/29 PURCHASE WALTHAM MA,-5,6297.72,Entertainment,,Clothing, $-   ,,
10/1/2018,ADVANCE AUTO P 09/29 PURCHASE WALTHAM MA,-6.68,6291.04,Car/Transportation,,drinking, $21.98 ,,
10/1/2018,TARGET T- 550 09/29 PURCHASE Watertown MA,-27.93,6263.11,Household goods,,Eating out, $554.03 ,,
10/1/2018,TAQUERIA EL AMIGO 09/29 PURCHASE WALTHAM MA,-32.96,6230.15,Eating Out,,Electric, $82.01 ,,
10/1/2018,Netflix.com 09/30 MOBILE PURCHASE netflix.com CA,-10.99,6219.16,Entertainment,,Entertainment, $160.26 ,,
10/1/2018,SUNOCO 0011892 09/30 PURCHASE CHELMSFORD MA,-30.71,6188.45,Car/Transportation,,Flights, $70.00 ,,
10/1/2018,WHOLEFDS NNH # 09/30 PURCHASE NASHUA NH,-23.41,6165.04,Groceries,,Gasoline, $-   ,,
10/1/2018,WHOLEFDS NNH # 09/30 PURCHASE NASHUA NH,-1.49,6163.55,Groceries,,Gifts, $86.62 ,,
10/1/2018,Audible US*MT49195R0 09/30 PURCHASE 888-283-5051 NJ,-14.95,6148.6,Entertainment,,Groceries," $1,020.66 ",,
10/1/2018,SPEEDWAY 02486 10/01 PURCHASE WALTHAM MA,-32.36,6116.24,Car/Transportation,,Gym, $233.58 ,,
10/1/2018,VANGUARD BUY DES:INVESTMENT ID:XXXXX7823220846 INDN:MICHAEL E STRAIN CO ID:VMC PUR PPD,-200,5916.24,Retirement,,Health, $224.24 ,,
10/2/2018,LONGFELLOW HEALTH CLUB 10/01 PURCHASE 508-653-4633 MA,-79,5837.24,Gym,,Heat, $-   ,,
10/2/2018,PANERA BREAD #203437 K 10/01 PURCHASE NATICK MA,-11.22,5826.02,Eating Out,,Household goods, $96.95 ,,
10/2/2018,CENTRAL ROCK WATERTOWN 10/01 PURCHASE HTTPSCENTRALR MA,-15,5811.02,gym,,Internet, $63.92 ,,
10/2/2018,WHOLEFDS NTV 1 10/02 PURCHASE NEWTONVILLE MA,-12.58,5798.44,Groceries,,laundry, $61.50 ,,
10/2/2018,TRADER JOE'S # 10/02 PURCHASE NEWTON MA,-21.7,5776.74,Groceries,,Natural Gas, $32.05 ,,
10/2/2018,PLYMOUTH ROCK AS DES:P&CMONTHLY ID:PRA00002143043 INDN:STRAIN MICHAEL E. CO ID:XXXXX00590 PPD,-116.19,5660.55,car insurance,,Other, $266.19 ,,
10/3/2018,AMAZON.COM*MT3VQ1822 AM 10/01 PURCHASE AMZN.COM/BILL WA,-14.44,5646.11,amazon?,,Rent," $1,200.00 ",,
10/3/2018,SP * SLUMBERKINS 10/02 PURCHASE STRIPE.COM WA,-52.5,5593.61,gifts,,Retirement, $400.00 ,,
10/3/2018,GROUPON INC 10/02 PURCHASE GROUPON.COM IL,-126,5467.61,Beauty,,Student Loan Payment, $-   ,,
10/3/2018,TARGET T- 1341 10/03 PURCHASE Boston MA,-41.49,5426.12,Household goods,,Wedding, $-   ,,
10/3/2018,Check 277,-1200,4226.12,rent,,, $-   ,,
10/4/2018,PARKING METERS PIL 10/03 PURCHASE BOSTON MA,-2.5,4223.62,Car/Transportation,,, $-   ,,
10/4/2018,GROUPON INC 10/03 PURCHASE GROUPON.COM IL,-98,4125.62,Beauty,,, $-   ,,
10/4/2018,WHOLEFDS NTV 1 10/04 PURCHASE NEWTONVILLE MA,-23.36,4102.26,Groceries,,, $-   ,,
10/4/2018,WHOLEFDS NTV 1 10/04 PURCHASE NEWTONVILLE MA,-37.58,4064.68,Groceries,,, $-   ,,
10/4/2018,EVERSOURCE DES:WEB_PAY ID:XXXXX616091318 INDN:MICHAEL STRAIN CO ID:XXXXX42013 WEB,-74.83,3989.85,electric,,, $-   ,,
10/5/2018,TST* TATTE BAKERY - FEN 10/03 PURCHASE BOSTON MA,-5.35,3984.5,Eating Out,,, $-   ,,
10/5/2018,LITTLE INDIA RESTAURANT 10/03 PURCHASE WALTHAM MA,-44.22,3940.28,Eating Out,,, $-   ,,
10/5/2018,P264723 10/05 #000416524 WITHDRWL 359 MOODY ST WALTHAM MA,-7,3933.28,Eating Out,,, $-   ,,
10/5/2018,P264723 10/05 #000416524 WITHDRWL 359 MOODY ST WALTHAM MA FEE,-2.5,3930.78,Eating Out,,, $-   ,,
10/9/2018,GEICO *AUTO 10/05 REFUND MACON DC,73.3,4004.08,car insurance,,, $-   ,,
10/9/2018,AMAZON.COM*MT0Y866W1 AM 10/05 PURCHASE AMZN.COM/BILL WA,-13.94,3990.14,amazon?,,, $-   ,,
10/9/2018,SUNOCO 0348525700 10/05 PURCHASE WALTHAM MA,-31.48,3958.66,Car/Transportation,,, $-   ,,
10/9/2018,BURGER KING #1560 10/05 PURCHASE SAUGUS MA,-6.94,3951.72,Eating Out,,, $-   ,,
10/9/2018,Feminail Salon 10/05 PURCHASE WALTHAM MA,-25,3926.72,Beauty,,, $-   ,,
10/9/2018,BISTRO 781 10/05 PURCHASE WALTHAM MA,-40.24,3886.48,Eating Out,,, $-   ,,
10/9/2018,GORDON S LIQUORS I 10/05 PURCHASE WALTHAM MA,-10.99,3875.49,drinking,,,,,
10/9/2018,WHOLEFDS NTV 1 10/06 PURCHASE NEWTONVILLE MA,-17.5,3857.99,Groceries,,,,,
10/9/2018,CHIPOTLE 1699 10/06 PURCHASE WALTHAM MA,-18.67,3839.32,Eating Out,,,,,
10/9/2018,BIG Y 20 PALME 10/06 PURCHASE PALMER MA,-12.37,3826.95,Groceries,,,,,
10/9/2018,DUNKIN #342932 Q35 10/07 PURCHASE BARRE MA,-7.31,3819.64,Eating Out,,,,,
10/9/2018,BURGER KING #3717 10/07 PURCHASE LEOMINSTER MA,-8.57,3811.07,Eating Out,,,,,
10/9/2018,"SQ *THRICE TOURS, INC. 10/07 PURCHASE Boston MA",-25,3786.07,Entertainment,,,,,
10/9/2018,UBER TRIP EC7M7 10/08 PURCHASE HELP.UBER.COM CA,-29.1,3756.97,Car/Transportation,,,,,
10/9/2018,HOB BOSTON REST/ENT 10/07 PURCHASE 6175470620 MA,-10,3746.97,Entertainment,,,,,
10/9/2018,CHIPOTLE 2987 10/08 PURCHASE NATICK MA,-8.03,3738.94,Eating Out,,,,,
